County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,suicideRate
"McHenry County, IL",17111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,40,307343,13
"McLean County, IL",17113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,173166,11.5
"Macon County, IL",17115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,107303, 
"Madison County, IL",17119,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,38,266209,14.3
"Marion County, IL",17121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,38339, 
"Mason County, IL",17125,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,13701, 
"Peoria County, IL",17143,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,186221, 
"Rock Island County, IL",17161,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,146133,14.4
"St. Clair County, IL",17163,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,264052, 
"Sangamon County, IL",17167,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,198712,15.1
"Tazewell County, IL",17179,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,134800,17.1
"Vermilion County, IL",17183,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,79282, 
"Will County, IL",17197,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,70,687263,10.2
"Williamson County, IL",17199,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,67466, 
"Winnebago County, IL",17201,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,40,287078,13.9
"Woodford County, IL",17203,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,39227, 
"Allen County, IN",18003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,48,368450,13
"Bartholomew County, IN",18005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,81162, 
"Cass County, IN",18017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,37979, 
"Clark County, IN",18019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,115371, 
"Delaware County, IN",18035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,116852, 
"Elkhart County, IN",18039,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,32,203474,15.7
"Gibson County, IN",18051,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,33775, 
"Hamilton County, IN",18057,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,38,309697,12.3
"Hancock County, IN",18059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,72520, 
"Hendricks County, IN",18063,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,158192, 
"Howard County, IN",18067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,82556, 
"Huntington County, IN",18069,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,36630, 
"Johnson County, IN",18081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,149633,13.4
"Kosciusko County, IN",18085,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,78620, 
"Lake County, IN",18089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,68,487865,13.9
"La Porte County, IN",18091,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,110884, 
"Madison County, IN",18095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,129723,20
"Marion County, IN",18097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,137,939020,14.6
"Monroe County, IN",18105,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,144705, 
"Porter County, IN",18127,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,167688,14.9
"Putnam County, IN",18133,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,37585, 
"St. Joseph County, IN",18141,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,40,268441,14.9
"Tippecanoe County, IN",18157,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,185826,10.8
"Vanderburgh County, IN",18163,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,32,181877,17.6
"Vigo County, IN",18167,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,107896,26.9
"Warrick County, IN",18173,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,61897, 
"Black Hawk County, IA",19013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,133455, 
"Dallas County, IA",19049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,80133, 
"Johnson County, IA",19103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,144251, 
"Linn County, IA",19113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,219916,13.2
"Polk County, IA",19153,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,75,467711,16
"Pottawattamie County, IA",19155,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,93671, 
"Scott County, IA",19163,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,172126,19.2
"Story County, IA",19169,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,96021, 
"Woodbury County, IA",19193,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,102782, 
"Butler County, KS",20015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,66741, 
"Douglas County, KS",20045,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,118053,17.8
"Johnson County, KS",20091,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,85,580159,14.7
"Leavenworth County, KS",20103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,79315, 
"Reno County, KS",20155,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,63718, 
"Sedgwick County, KS",20173,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,78,511574,15.2
"Shawnee County, KS",20177,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,42,178725,23.5
"Wyandotte County, KS",20209,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,28,163369,17.1
"Boone County, KY",21015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,22,127712,17.2
"Boyd County, KY",21019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,48325, 
"Bullitt County, KY",21029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,78702, 
"Campbell County, KY",21037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,92066, 
"Christian County, KY",21047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,73309, 
"Clark County, KY",21049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,35757, 
"Daviess County, KY",21059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,99259, 
"Fayette County, KY",21067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,36,314488,11.4
"Hardin County, KY",21093,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,106439, 
"Henderson County, KY",21101,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,46407, 
"Hopkins County, KY",21107,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,46222, 
"Jefferson County, KY",21111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,134,763623,17.5
"Kenton County, KY",21117,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,165012,12.1
"Laurel County, KY",21125,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,60094, 
"McCracken County, KY",21145,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,65018, 
"Madison County, KY",21151,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,87824, 
"Marshall County, KY",21157,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,31101, 
"Pike County, KY",21195,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,61792, 
"Pulaski County, KY",21199,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,63782, 
"Warren County, KY",21227,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,122851, 
"Ascension Parish, LA",22005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,119455, 
"Avoyelles Parish, LA",22009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,41103, 
"Bossier Parish, LA",22015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,125175, 
"Caddo Parish, LA",22017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,40,251460,15.9
"Calcasieu Parish, LA",22019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,44,198788,22.1
"East Baton Rouge Parish, LA",22033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,49,446753,11
"Evangeline Parish, LA",22039,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,33743, 
"Jefferson Parish, LA",22051,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,57,436275,13.1
"Lafayette Parish, LA",22055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,39,240098,16.2
"Lafourche Parish, LA",22057,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,98325,24.4
"Lincoln Parish, LA",22061,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,47774, 
"Livingston Parish, LA",22063,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,137788,21
"Orleans Parish, LA",22071,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,50,389617,12.8
"Ouachita Parish, LA",22073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,156761, 
"Rapides Parish, LA",22079,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,132141,17.4
"St. Landry Parish, LA",22097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,83848, 
"St. Martin Parish, LA",22099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,53835, 
"St. Tammany Parish, LA",22103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,40,250088,16
"Tangipahoa Parish, LA",22105,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,128755,20.2
"Terrebonne Parish, LA",22109,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,113972, 
"Vermilion Parish, LA",22113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,59875, 
"Androscoggin County, ME",23001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,107233,19.6
"Aroostook County, ME",23003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,68628, 
"Cumberland County, ME",23005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,39,289977,13.4
"Hancock County, ME",23009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,54659, 
"Kennebec County, ME",23011,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,119980,24.2
"Oxford County, ME",23017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,57202, 
"Penobscot County, ME",23019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,152692,16.4
"Somerset County, ME",23025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,51113, 
"York County, ME",23031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,201169,14.4
"Allegany County, MD",24001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,72528, 
"Anne Arundel County, MD",24003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,68,564195,12.1
"Baltimore County, MD",24005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,86,831128,10.3
"Calvert County, MD",24009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,90595, 
"Carroll County, MD",24013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,167627, 
"Cecil County, MD",24015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,102382, 
"Charles County, MD",24017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,156118, 
"Frederick County, MD",24021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,245322,10.2
"Harford County, MD",24025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,32,250290,12.8
"Howard County, MD",24027,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,313414,9.3
"Montgomery County, MD",24031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,72,1040116,6.9
"Prince George's County, MD",24033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,43,909535,4.7
"St. Mary's County, MD",24037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,111413, 
"Washington County, MD",24043,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,22,149585,14.7
"Baltimore city, MD",24510,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,42,621849,6.8
"Barnstable County, MA",25001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,38,214333,17.7
"Berkshire County, MA",25003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,127828, 
"Bristol County, MA",25005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,69,556772,12.4
"Essex County, MA",25009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,62,776043,8
"Franklin County, MA",25011,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,70601, 
"Hampden County, MA",25013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,47,470690,10
"Hampshire County, MA",25015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,161292, 
"Middlesex County, MA",25017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,138,1585139,8.7
"Norfolk County, MA",25021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,55,696023,7.9
"Plymouth County, MA",25023,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,49,510393,9.6
"Suffolk County, MA",25025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,47,778121,6
"Worcester County, MA",25027,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,89,818963,10.9
"Allegan County, MI",26005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,114625,20.1
"Barry County, MI",26015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,59314, 
"Bay County, MI",26017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,105659,21.8
"Berrien County, MI",26021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,154636,19.4
"Calhoun County, MI",26025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,134314,18.6
"Clare County, MI",26035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,30553, 
"Clinton County, MI",26037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,77390, 
"Eaton County, MI",26045,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,108801,18.4
"Genesee County, MI",26049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,49,410849,11.9
"Grand Traverse County, MI",26055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,91636, 
"Ingham County, MI",26065,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,46,286085,16.1
"Ionia County, MI",26067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,64223, 
"Jackson County, MI",26075,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,159494,18.8
"Kalamazoo County, MI",26077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,260263,11.1
"Kent County, MI",26081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,70,636369,11
"Lapeer County, MI",26087,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,88373, 
"Lenawee County, MI",26091,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,98573,21.3
"Livingston County, MI",26093,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,187316,12.3
"Macomb County, MI",26099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,133,864840,15.4
"Marquette County, MI",26103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,67215, 
"Monroe County, MI",26115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,149568,15.4
"Montcalm County, MI",26117,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,62945, 
"Muskegon County, MI",26121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,172790,19.7
"Oakland County, MI",26125,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,175,1242304,14.1
"Ottawa County, MI",26139,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,279955,10.7
"Saginaw County, MI",26145,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,193307,12.4
"St. Clair County, MI",26147,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,159875,16.3
"Shiawassee County, MI",26155,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,68619, 
"Van Buren County, MI",26159,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,75077, 
"Washtenaw County, MI",26161,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,36,358880,10
"Wayne County, MI",26163,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,201,1759335,11.4
"Anoka County, MN",27003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,55,344151,16
"Blue Earth County, MN",27013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,65787, 
"Carver County, MN",27019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,98741, 
"Crow Wing County, MN",27035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,63428, 
"Dakota County, MN",27037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,55,414686,13.3
"Hennepin County, MN",27053,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,146,1223149,11.9
"Isanti County, MN",27059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,38429, 
"Itasca County, MN",27061,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,45435, 
"Kandiyohi County, MN",27067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,42542, 
"Olmsted County, MN",27109,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,151436, 
"Otter Tail County, MN",27111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,57716, 
"Ramsey County, MN",27123,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,69,538133,12.8
"St. Louis County, MN",27137,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,42,200431,21
"Scott County, MN",27139,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,141660, 
"Stearns County, MN",27145,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,154708, 
"Washington County, MN",27163,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,251597,8.3
"Wright County, MN",27171,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,131311, 
"DeSoto County, MS",28033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,173323,13.3
"Forrest County, MS",28035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,75944, 
"Harrison County, MS",28047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,43,201410,21.3
"Hinds County, MS",28049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,242891, 
"Jackson County, MS",28059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,141425,16.3
"Lee County, MS",28081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,85300, 
"Madison County, MS",28089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,103465, 
"Neshoba County, MS",28099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,29463, 
"Pearl River County, MS",28109,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,55191,36.2
"Rankin County, MS",28121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,149039,16.1
"Boone County, MO",29019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,174974, 
"Buchanan County, MO",29021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,89100,25.8
"Camden County, MO",29029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,44237, 
"Cape Girardeau County, MO",29031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,78572, 
"Cass County, MO",29037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,101603,20.7
"Christian County, MO",29043,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,83279, 
"Clay County, MO",29047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,57,235637,24.2
"Franklin County, MO",29071,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,102426,25.4
"Greene County, MO",29077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,74,288072,25.7
"Howell County, MO",29091,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,40117, 
"Jackson County, MO",29095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,120,687623,17.5
"Jasper County, MO",29097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,118596,21.1
"Jefferson County, MO",29099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,46,224124,20.5
"Lincoln County, MO",29113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,54696, 
"Newton County, MO",29145,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,58615, 
"Pettis County, MO",29159,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,42255, 
"Platte County, MO",29165,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,96096, 
"St. Charles County, MO",29183,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,58,385590,15
"St. Francois County, MO",29187,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,66520, 
"St. Louis County, MO",29189,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,131,1003362,13.1
"Scott County, MO",29201,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,39008, 
"Taney County, MO",29213,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,54592, 
"Webster County, MO",29225,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,37483, 
"St. Louis city, MO",29510,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,37,315685,11.7
"Cascade County, MT",30013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,82278,25.5
"Flathead County, MT",30029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,96165,25
"Gallatin County, MT",30031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,100739, 
"Lake County, MT",30047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,29457, 
"Lewis and Clark County, MT",30049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,66418, 
"Lincoln County, MT",30053,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,19052, 
"Missoula County, MT",30063,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,114181,21.9
"Ravalli County, MT",30081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,41373, 
"Silver Bow County, MT",30093,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,34622, 
"Yellowstone County, MT",30111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,39,157048,24.8
"Adams County, NE",31001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,31587, 
"Douglas County, NE",31055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,64,550064,11.6
